ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
514344951482249,110056212194357,"Fentanyl Free Communities",2024-08-23,2024-08-23,2024-08-27,"FENTANYL FREE COMMUNITIES FOUNDATION","IT'S BACK TO SCHOOL TIME!

Parents talk to your kids about fentanyl, and young people, talk to your friends. We must spread awareness about the dangers of fentanyl poisoning. Stay aware and stay safe. @[61561973553604:2048:PAUSE Program FFCF]

﻿#PAUSE #FentanylAwareness #BackToSchool #BeTheMessenger #FentanylPoisoning #FentanylFreeCommunities","Fentanyl Free Communities",fentanylfreecommunities.org,"Fentanyl Free Communities: Safeguarding families' futures through education and advocacy to combat the impact of the fentanyl crisis.","lower_bound: 6000, upper_bound: 6999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.002275},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.0013},{""age"":""65+"",""gender"":""male"",""percentage"":0.01739},{""age"":""55-64"",""gender"":""male"",""percentage"":0.036893},{""age"":""35-44"",""gender"":""male"",""percentage"":0.164635},{""age"":""55-64"",""gender"":""unknown"",""percentage"":0.0013},{""age"":""45-54"",""gender"":""female"",""percentage"":0.185113},{""age"":""35-44"",""gender"":""female"",""percentage"":0.213392},{""age"":""55-64"",""gender"":""female"",""percentage"":0.132618},{""age"":""65+"",""gender"":""female"",""percentage"":0.050219},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.003088},{""age"":""45-54"",""gender"":""male"",""percentage"":0.11019},{""age"":""25-34"",""gender"":""male"",""percentage"":0.047782},{""age"":""25-34"",""gender"":""female"",""percentage"":0.032667},{""age"":""65+"",""gender"":""unknown"",""percentage"":0.001138}","{""region"":""Minnesota"",""percentage"":0.976831},{""region"":""Wisconsin"",""percentage"":0.023169}",facebook,"lower_bound: 1000001",en
1680047416181077,110056212194357,"Fentanyl Free Communities",2024-08-19,2024-08-19,2024-08-21,"FENTANYL FREE COMMUNITIES FOUNDATION","With National Fentanyl Prevention & Awareness Day approaching on August 21st, please listen to FFCF Chair @[1264749215:2048:Michele Law Hein]s message. Please share!
#fentanylawareness #fentanyleducation #fentanylprevention
@[100077458432573:2048:Paul Ostrow] @[100002535945200:2048:Michelle Loberg]","National Fentanyl Prevention & Awareness Day",FentanylFreeCommunities.Org,,"lower_bound: 1000, upper_bound: 1999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""55-64"",""gender"":""female"",""percentage"":0.39532},{""age"":""65+"",""gender"":""female"",""percentage"":0.374384},{""age"":""45-54"",""gender"":""female"",""percentage"":0.17734},{""age"":""35-44"",""gender"":""female"",""percentage"":0.052956}","{""region"":""Minnesota"",""percentage"":0.983794},{""region"":""Wisconsin"",""percentage"":0.016206}",facebook,"lower_bound: 500001, upper_bound: 1000000",
1380621576675517,94999047581,"California Department of Public Health",2024-08-29,2024-08-29,,"California Department of Public Health","Fact alert: using naloxone could make you a lifesaver.,Fact alert: using naloxone could make you a lifesaver.,Fact alert: using naloxone could make you a lifesaver.,Fact alert: using naloxone could make you a lifesaver.","Naloxone knowledge is power.,Naloxone knowledge is power.,Naloxone knowledge is power.,Naloxone knowledge is power.",factsfightfentanyl.org,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,,,instagram,"lower_bound: 1000001",en
541468194896126,94999047581,"California Department of Public Health",2024-08-29,2024-08-29,,"California Department of Public Health","Fact alert: using naloxone could make you a lifesaver.,Naloxone knowledge is power.,Fact alert: using naloxone could make you a lifesaver.","Naloxone knowledge = power.",factsfightfentanyl.org,"Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,,,facebook,"lower_bound: 100001, upper_bound: 500000",en
768903921910996,94999047581,"California Department of Public Health",2024-08-29,2024-08-29,,"California Department of Public Health","Fact alert: using naloxone could make you a lifesaver.,Naloxone knowledge is power.,Fact alert: using naloxone could make you a lifesaver.","Naloxone knowledge = power.",factsfightfentanyl.org,"Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.011765},{""age"":""25-34"",""gender"":""female"",""percentage"":0.217647},{""age"":""35-44"",""gender"":""female"",""percentage"":0.376471},{""age"":""35-44"",""gender"":""male"",""percentage"":0.223529},{""age"":""25-34"",""gender"":""male"",""percentage"":0.152941},{""age"":""18-24"",""gender"":""female"",""percentage"":0.005882},{""age"":""18-24"",""gender"":""male"",""percentage"":0.011765}","{""region"":""California"",""percentage"":1}",facebook,"lower_bound: 100001, upper_bound: 500000",en
480200064921791,94999047581,"California Department of Public Health",2024-08-29,2024-08-29,,"California Department of Public Health","Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.,Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.,Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.,Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.,Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.,Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.,Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.,Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.,Oops. Forget what it’s called? You can say “the nasal spray that reverses opioid overdoses.” Pharmacists will get it.","Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.",factsfightfentanyl.org,"Get informed. Save lives.,Get informed. Save lives.,Get informed. Save lives.,Get informed. Save lives.,Get informed. Save lives.,Get informed. Save lives.,Get informed. Save lives.,Get informed. Save lives.,Get informed. Save lives.","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,,,facebook,"lower_bound: 100001, upper_bound: 500000",en
1223971342288219,94999047581,"California Department of Public Health",2024-08-29,2024-08-29,,"California Department of Public Health","Fact alert: using naloxone could make you a lifesaver.,Naloxone knowledge is power.,Fact alert: using naloxone could make you a lifesaver.","Naloxone knowledge = power.",factsfightfentanyl.org,"Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.005587},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.005587},{""age"":""18-24"",""gender"":""female"",""percentage"":0.011173},{""age"":""25-34"",""gender"":""female"",""percentage"":0.318436},{""age"":""35-44"",""gender"":""female"",""percentage"":0.301676},{""age"":""25-34"",""gender"":""male"",""percentage"":0.173184},{""age"":""35-44"",""gender"":""male"",""percentage"":0.167598},{""age"":""18-24"",""gender"":""male"",""percentage"":0.01676}","{""region"":""California"",""percentage"":1}",facebook,"lower_bound: 1000001",en
1335552544071635,94999047581,"California Department of Public Health",2024-08-29,2024-08-29,,"California Department of Public Health","Fact alert: using naloxone could make you a lifesaver.,Naloxone knowledge is power.,Fact alert: using naloxone could make you a lifesaver.","Naloxone knowledge = power.",factsfightfentanyl.org,"Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.,Facts fight fentanyl.","lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00565},{""age"":""25-34"",""gender"":""male"",""percentage"":0.146893},{""age"":""35-44"",""gender"":""female"",""percentage"":0.418079},{""age"":""25-34"",""gender"":""female"",""percentage"":0.217514},{""age"":""35-44"",""gender"":""male"",""percentage"":0.169492},{""age"":""18-24"",""gender"":""male"",""percentage"":0.008475},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.016949},{""age"":""18-24"",""gender"":""female"",""percentage"":0.016949}","{""region"":""California"",""percentage"":1}",facebook,"lower_bound: 1000001",en
816848637303605,94999047581,"California Department of Public Health",2024-08-29,2024-08-29,,"California Department of Public Health","Fentanyl could be sneaking into the party without anyone knowing.,Fentanyl could be sneaking into the party without anyone knowing.,Fentanyl could be sneaking into the party without anyone knowing.","Stay safe if fentanyl crashes the party.,Stay safe if fentanyl crashes the party.,Stay safe if fentanyl crashes the party.",factsfightfentanyl.org,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,,,instagram,"lower_bound: 100001, upper_bound: 500000",en
1003612614844419,94999047581,"California Department of Public Health",2024-08-29,2024-08-29,,"California Department of Public Health","Fentanyl could be sneaking into the party without anyone knowing.,Fentanyl could be sneaking into the party without anyone knowing.,Fentanyl could be sneaking into the party without anyone knowing.,Fentanyl could be sneaking into the party without anyone knowing.","Stay safe if fentanyl crashes the party.,Stay safe if fentanyl crashes the party.,Stay safe if fentanyl crashes the party.,Stay safe if fentanyl crashes the party.",factsfightfentanyl.org,,"lower_bound: 0, upper_bound: 999","lower_bound: 0, upper_bound: 99",USD,"{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.011905},{""age"":""35-44"",""gender"":""female"",""percentage"":0.107143},{""age"":""35-44"",""gender"":""male"",""percentage"":0.083333},{""age"":""25-34"",""gender"":""male"",""percentage"":0.22619},{""age"":""18-24"",""gender"":""female"",""percentage"":0.130952},{""age"":""25-34"",""gender"":""female"",""percentage"":0.285714},{""age"":""18-24"",""gender"":""male"",""percentage"":0.154762}","{""region"":""California"",""percentage"":1}",instagram,"lower_bound: 100001, upper_bound: 500000",en
