...1,city_name,clean2,phone_numbers
1,Big Bend Sector Texas,"Big Bend Border Patrol Sector, P.O. Box I, Marfa, TX 79843","(432) 729-5200, 1-888-536-6204"
2,Blaine Sector Washington,"2410 Nature's Path Way, Blaine, WA 98230","(360) 332-9200, (360) 332-9263"
3,Buffalo Sector New York,"Buffalo Sector Headquarters, 201 Lang Blvd., Grand Island, NY 14072",(716) 774-7200
4,Del Rio Sector Texas,"Del Rio Border Patrol Sector, 2401 Dodson Avenue, Del Rio, TX 78840",(830) 778-7000
5,Detroit Sector Michigan,"26000 South Street, Building 1516, Selfridge ANGB, MI 48045",(586) 239-2160
6,El Centro Sector California,"211 West Aten Road, Imperial, California 92251",(760) 335-5700
7,El Paso Sector Texas,"8901 Montana Avenue, El Paso, TX 799251212",(915) 834-8350
9,Havre Sector Montana,"2605 5th Ave. SE, Havre, MT 59501",(406) 262-5600
10,Houlton Sector Maine,"96 Calais Rd, Hodgdon ME 04730","(207) 532-6521, 1-800-851-8727"
11,Laredo Sector Texas,"207 W. Del Mar Blvd., Laredo, TX 78041",(956) 764-3200
12,Miami Sector Florida,"15720 Pines Boulevard, Pembroke Pines, FL 33027",(954) 965-6300
13,New Orleans Sector Louisiana,"P.O. Box 6218, New Orleans, LA 701746218",(504) 376-2800
14,Ramey Sector Aguadilla Puerto Rico,"P.O. Box 250467, Ramey, PR 00604; Physical address 723 Belt St Aguadilla, PR 00603",(787) 890-4747
15,Rio Grande Valley Sector Texas,"4400 South Expressway 281, Edinburg, Texas 78542",(956) 289-4800
16,San Diego Sector California,"2411 Boswell Rd., Chula Vista, CA 919143519",(619) 216-4000
17,Spokane Sector Washington,"10710 N. Newport Highway, Spokane, Washington 99218",(509) 353-2747
18,Swanton Sector Vermont,"155 Grand Ave, Swanton, VT 05488",1-800-247-2434
19,Tucson Sector Arizona,"2430 S. Swan Road, Tucson, AZ 85711",(520) 748-3000
8,Grand Forks Sector North Dakota,"1816 17th Street NE, Grand Forks, ND 58203",(701) 772-3056
20,Yuma Sector Arizona,"4035 S. Ave. A, Yuma AZ 85365",(928) 341-6500
110,Atlanta Field Office,"1500 Centre Parkway Suite 101 Atlanta, GA 30344 United States",+1 404-629-4100
21,Baltimore Field Office,"217 E. Redwood Street 12 th Floor Baltimore, MD 21202 United States",+1 410-962-6200
31,Boston Field Office,"10 Causeway St Room 801 Boston, MA 02222 United States",+1 617-565-6208
41,Buffalo Field Office,"Buffalo Field Office Buffalo, NY 14225 United States",+1 716-626-0400
51,Chicago Field Office,"610 S. Canal Street Room 300 Chicago, IL 60607 United States",+1 312-542-5700
61,Detroit Field Office,"985 Michigan Ave.Suite 510 Detroit, MI 48226 United States",+1 313-442-4460
71,El Paso Field Office,"6070 Gateway Boulevard East 3 rd Floor El Paso, TX 79905 United States",+1 915-730-7000
81,Houston Field Office,"2323 S. Shepherd #1300 Houston, TX 77019 United States",+1 713-387-7200
91,Laredo Field Office,"109 Shiloh Dr., Suite 300 Laredo, TX 78045 United States",+1 956-753-1768
101,Los Angeles Field Office,"1 World Trade Center Suite 741 Long Beach, CA 90831 United States",+1 562-980-3100
111,Miami Field Office,"909 S.E. 1 st Avenue Suite 980 Miami, FL 33131 United States",+1 305-810-5120
121,New Orleans Field Office,"423 Canal Street Room 350 New Orleans, LA 70130 United States",+1 504-670-2404
131,New York Field Office,"One World Trade Center Suite 50.200 New York, NY 10007 United States",+1 646-733-3100
141,Portland Field Office,"33 New Montgomery Suite 1600 San Francisco, CA 94105 United States",+1 415-744-1530
151,San Diego Field Office,"610 W. Ash St Suite 1200 San Diego, CA 92101 United States",NA
161,San Francisco Field Office,"33 New Montgomery St., 16 th floor San Francisco, CA 94105 United States",+1 415-744-1530
171,San Juan Field Office,"City View Plaza-Suite 3000#48 Rd. 165 Km. 1.2 Guaynabo, PR 00968-8000 United States",NA
181,Seattle Field Office,"1000 2 nd Avenue Suite 2100 Seattle, WA 98104 United States",+1 360-332-4413
191,Tampa Field Office,"5519 W Hillsborough Ave Tampa, FL 33634 United States",+1 813-712-6000
201,Tucson Field Office,"4760 N. Oracle Road Suite 316 Tucson, AZ 85705 United States",NA
