topic,gamma,document_id,advertiser,text
1,0.9993106899940087,225,Simply Vote,"Night #3 of the Republican National Convention:

Night three of the Republican National Convention featured speeches from Sen. JD Vance of Ohio, Donald Trump's vice-presidential pick, and others who made various misleading statements. Vance claimed that Trump had opposed the 2003 US invasion of Iraq, but fact-checkers revealed Trump had not publicly opposed the invasion before it happened. In fact, Trump made statements that suggested he was in favor of it at the time. Another speaker, Kimberly Guilfoyle, asserted that Trump handed Biden a booming economy, which was also misleading. While the economy was doing well before the pandemic, it suffered significantly during 2020, with high unemployment and a major GDP decline.

The convention also included several other false claims. A video criticized Biden for wages declining under his administration, a claim proven outdated as wages had been rising since mid-2023. RNC Chairman Michael Whatley falsely claimed the 2020 economy was stronger than the current one, overlooking the severe impact of the pandemic. Newt Gingrich incorrectly stated Trump orchestrated an orderly end to the Afghanistan war, despite US troops leaving under Biden. Additionally, various speakers made inaccurate statements about the US military, the Middle East under Trump, and the economy, further highlighting the night’s pattern of misleading rhetoric.

Night #2 of the Republican National Convention:

During the second night of the Republican National Convention, various speakers made several false and misleading claims, with a heavy focus on immigration and crime. House Speaker Mike Johnson and Rep. Elise Stefanik falsely claimed that violent crime and drugs have dramatically increased under President Biden. However, FBI data shows that violent crime has actually dropped significantly in the U.S. since 2023, with murder rates experiencing the fastest decline ever recorded. Similarly, Steve Scalise's claim about Biden eroding American energy dominance was misleading, as U.S. crude oil production reached record highs in 2023.

Further exaggerations included Eric Hovde's statement about fentanyl deaths and Kari Lake's false assertion about undocumented immigrants voting in the upcoming election. Hovde incorrectly claimed over 100,000 fentanyl deaths annually due to open borders, while Lake falsely stated that Rep. Ruben Gallego voted to allow undocumented immigrants to vote, which did not happen. Additionally, Lara Trump's claims about record low unemployment rates under Trump overlooked the fact that these records were matched or surpassed during Biden's presidency. 

Night #1 of the Republican National Convention:

At the Republican National Convention, a video featuring former President Donald Trump urged Republicans to use ""every appropriate tool"" to defeat Democrats, including mail-in voting. Despite his past criticisms of mail-in voting, Trump reiterated his unsubstantiated claims of widespread election fraud in the 2020 election. However, these claims have been repeatedly debunked, with the 2020 election being described as the most secure in American history by the Trump administration's Cybersecurity and Infrastructure Security Agency. No significant evidence of voter fraud has been found that could have altered the outcome of the election, where Trump lost to Joe Biden by an Electoral College margin of 306 to 232.

In addition to Trump’s remarks, other speakers at the convention made various false or misleading claims. For example, Sen. Marsha Blackburn falsely claimed that the Biden administration hired 85,000 new IRS agents to harass Americans, a number derived from a misinterpreted Treasury Department report. Similarly, Sen. Katie Britt inaccurately suggested that Americans are taking on second jobs more frequently under Biden due to the cost of living, despite data showing the number of multiple job holders has not surpassed pre-pandemic levels. Lt. Gov. Mark Robinson’s statements about economic conditions under Biden and Trump also contained inaccuracies, such as exaggerating gas price increases and omitting the economic downturn at the end of Trump’s term due to the pandemic.

#simplyvote  #RNC  #CNN"
1,0.9984038653987783,511,Aric Nesbitt,"On my recent visit to the southern border, TX State Senator Phil King showed us what Texas residents are experiencing and how their elected officials are addressing the problem. We discussed why this matters to Michiganders and all Americans - drugs, felons, and crime are spilling over the border with illegal alien apprehensions reaching almost 4 million since March 2021.

We toured Eagle Pass, a town of 28,000, with the TX Department Of Public Safety and witnessed first hand the Biden Administration’s disastrous open border policy. This is a town that saw thousands of illegal alien apprehensions daily as of December 2023. Then, the state of Texas stepped up along with national guardsmen & law enforcement from other states to stem the flow. Today, the daily apprehensions are reduced to single digits. So, of course, the Biden Administration has decided to sue the State of Texas to take the border barriers down. 

We are a country of laws and a country that accepts a million LEGAL immigrations every year (no other country in the world comes close). I’m told by those on the frontline that two policy changes would help reverse course. First, we must return to the “Remain in Mexico” policy implemented by President Trump. Second, we need to enforce the laws currently on the books for those entering the country illegally from being able to apply for immigration status for 10 years. It’s clear that President Biden’s refusal to enforce current law and his revoking of President Trumps executive orders created this border crisis.

This is why Michigan Senate & House Republicans have introduced legislation to ban sanctuary jurisdictions in Michigan, increase penalties for those that deal fentanyl and poison our families, along with calling on the Biden Administration  to end their disastrous open border policies. We need to act now."
1,0.9977722481357659,775,Ben Shapiro,"In the latest episode of The Divided States of Biden, I reveal how Joe Biden's horrible policies have created the most severe drug crisis in American history. Join me for episode 2, 'Fentanyl: America's Silent Epidemic'. Available now on DailyWire+.,In the latest episode of The Divided States of Biden, I reveal how Joe Biden's horrible policies have created the most severe drug crisis in American history. Join me for episode 2, 'Fentanyl: America's Silent Epidemic'. Available now on DailyWire+.,Joe Biden's policies on immigration and drugs have been catastrophic for everyday Americans, with fentanyl as the #1 killer of adults aged 18-45. 

Join me on the ground as I expose the real world consequences of one of the most destructive presidencies in American history in the latest episode of my new series, The Divided States of Biden. Watch episode 2, 'Fentanyl: America's Silent Epidemic' now on DailyWire+.,Joe Biden's policies on immigration and drugs have been catastrophic for everyday Americans, with fentanyl as the #1 killer of adults aged 18-45. 

Join me on the ground as I expose the real world consequences of one of the most destructive presidencies in American history in the latest episode of my new series, The Divided States of Biden. Watch episode 2, 'Fentanyl: America's Silent Epidemic' now on DailyWire+."
1,0.9975598098258566,800,DailyWire+,"President Joe Biden is tearing America apart. Join Ben Shapiro on the ground as he exposes the real world consequences of one of the most destructive presidencies in American history. 

In the latest episode of his new series, The Divided States of Biden, Ben covers the topic of fentanyl, the leading cause of death in adults aged 18-45. Watch now on DailyWire+.,President Joe Biden is tearing America apart. Join Ben Shapiro on the ground as he exposes the real world consequences of one of the most destructive presidencies in American history. 

In the latest episode of his new series, The Divided States of Biden, Ben covers the topic of fentanyl, the leading cause of death in adults aged 18-45. Watch now on DailyWire+.,President Joe Biden is tearing America apart. Join Ben Shapiro on the ground as he exposes the real world consequences of one of the most destructive presidencies in American history. 

In the latest episode of his new series, The Divided States of Biden, Ben covers the topic of fentanyl, the leading cause of death in adults aged 18-45. Watch now on DailyWire+."
1,0.9975598095616507,771,Ben Shapiro,"Joe Biden's policies on immigration and drugs have been catastrophic for everyday Americans, with fentanyl as the #1 killer of adults aged 18-45. 

Join me on the ground as I expose the real world consequences of one of the most destructive presidencies in American history in the latest episode of my new series, The Divided States of Biden. Watch episode 2, 'Fentanyl: America's Silent Epidemic' now on DailyWire+.,Joe Biden's policies on immigration and drugs have been catastrophic for everyday Americans, with fentanyl as the #1 killer of adults aged 18-45. 

Join me on the ground as I expose the real world consequences of one of the most destructive presidencies in American history in the latest episode of my new series, The Divided States of Biden. Watch episode 2, 'Fentanyl: America's Silent Epidemic' now on DailyWire+.,Joe Biden's policies on immigration and drugs have been catastrophic for everyday Americans, with fentanyl as the #1 killer of adults aged 18-45. 

Join me on the ground as I expose the real world consequences of one of the most destructive presidencies in American history in the latest episode of my new series, The Divided States of Biden. Watch episode 2, 'Fentanyl: America's Silent Epidemic' now on DailyWire+."
1,0.9970166866936401,37,First Freedoms Foundation,"🚨 Our Southern Border Needs Strong Leadership – President Trump Delivers! 🚨

The situation at our southern border is out of control, and it’s clear that we need a leader who will take decisive action to protect our country. While Kamala Harris and the Biden administration have ignored the crisis and let illegal immigration spiral, President Trump had a powerful, effective policy that kept our borders secure and our communities safe. 🛡️

Under President Trump, we saw historic progress in securing the border, reducing illegal crossings, and stopping dangerous drugs like fentanyl from entering our country. He understood the importance of putting America first, ensuring that our borders were strong and our laws were enforced.

It's time to bring back the leadership that works for the American people. Let’s stand with President Trump and his commitment to restoring order at our southern border! 🇺🇸

#Trump2024 #SecureTheBorder #AmericaFirst #RestoreLawAndOrder"
1,0.9969847322293734,1280,American Savers Today,"🇺🇸 America has gone down the drained ever since Sleepy Joe took office...

And we all know if Trump isn't back in 2024, America is doomed..

That's why if you are a proud MAGA patriot, take this short poll below and let us know you will support Trump in 2024.

And we'll send you this limited edition GIFT FOR FREE!

Hurry, claims yours now before we run out!

Today Is The FINAL DAY To Claim! Tap Below To Claim Yours Now!👇,🇺🇸 America has gone down the drained ever since Sleepy Joe took office...

And we all know if Trump isn't back in 2024, America is doomed..

That's why if you are a proud MAGA patriot, take this short poll below and let us know you will support Trump in 2024.

And we'll send you this limited edition GIFT FOR FREE!

Hurry, claims yours now before we run out!

Today Is The FINAL DAY To Claim! Tap Below To Claim Yours Now!👇"
1,0.9969187219562626,823,DailyWire+,"President Joe Biden is tearing America apart, from the reckless crisis on the southern border to weak policies on drugs. Join Ben Shapiro on the ground as he exposes the real world consequences of one of the most destructive presidencies in American history. 

In the latest episode of his new series, The Divided States of Biden, Ben covers the topic of fentanyl, the leading cause of death of adults aged 18-45. Watch now on DailyWire+.,President Joe Biden is tearing America apart, from the reckless crisis on the southern border to weak policies on drugs. Join Ben Shapiro on the ground as he exposes the real world consequences of one of the most destructive presidencies in American history. 

In the latest episode of his new series, The Divided States of Biden, Ben covers the topic of fentanyl, the leading cause of death of adults aged 18-45. Watch now on DailyWire+."
1,0.996777622817799,27,Ben Shapiro,"How did fentanyl become the leading cause of death in adults ages 18-45? There's no mystery there. Biden's policies are to blame. Join me on the ground as I show the real world effects of Biden's horrendous policies in the latest episode of my new series, The Divided States of Biden.,How did fentanyl become the leading cause of death in adults ages 18-45? There's no mystery there. Biden's policies are to blame. Join me on the ground as I show the real world effects of Biden's horrendous policies in the latest episode of my new series, The Divided States of Biden.,How did fentanyl become the leading cause of death in adults ages 18-45? There's no mystery there. Biden's policies are to blame. Join me on the ground as I show the real world effects of Biden's horrendous policies in the latest episode of my new series, The Divided States of Biden."
1,0.9965819697356914,804,Daily Wire,"Ben Shapiro visited one of America's forgotten cities devastated by the fentanyl crisis. He spoke with family members of those who have died from drug overdoses and showcases just how out of hand this crisis has gotten. ""The Divided States of Biden"" is available to stream now on DailyWire+,Ben Shapiro visited one of America's forgotten cities devastated by the fentanyl crisis. He spoke with family members of those who have died from drug overdoses and showcases just how out of hand this crisis has gotten. ""The Divided States of Biden"" is available to stream now on DailyWire+,Ben Shapiro visited one of America's forgotten cities devastated by the fentanyl crisis. He spoke with family members of those who have died from drug overdoses and showcases just how out of hand this crisis has gotten. ""The Divided States of Biden"" is available to stream now on DailyWire+"
